"clusterID_integrated.harmony","majorID_sub","colz","majCol","newCol"
0,"keep",NA,NA,"#93AA00"
1,"lowQ",NA,"yes","#67B100"
2,"keep",NA,"yes","#9390FF"
3,"keep",NA,NA,"#00B818"
4,"keep",NA,"yes","#F763DF"
5,"keep",NA,NA,"#00C088"
6,"keep",NA,"yes","#CC9600"
7,"keep",NA,NA,"#B3A000"
8,"keep",NA,NA,"#00C1AB"
9,"keep",NA,NA,"#00BEC9"
10,"lowQ",NA,NA,"#FF61C3"
11,"keep",NA,NA,"#C47EFF"
12,"keep",NA,NA,"#00B9E3"
13,"keep",NA,NA,"#00B9E3"
14,"bcell",NA,NA,"#00B9E3"
