"clusterID_sub_integrated.harmony","majorID_sub","colz","majCol","newCol"
0,"CD4a",NA,NA,"#93AA00"
1,"CD4b",NA,"yes","#67B100"
2,"CD8a",NA,"yes","#9390FF"
3,"gd_T1",NA,NA,"#00B818"
4,"Treg",NA,"yes","#F763DF"
5,"T_HSP",NA,NA,"#00C088"
6,"CD8b",NA,"yes","#CC9600"
7,"gd_2",NA,NA,"#B3A000"
8,"NKT",NA,NA,"#00C1AB"
9,"doublet",NA,NA,"#00BEC9"
10,"T_cycling",NA,NA,"#33CTFF"
11,"NK",NA,NA,"#03BEFF"
12,"T_IFN",NA,NA,"#33FFCC"
