"clusterID_sub_integrated.harmony","majorID_sub","colz","majCol","newCol"
0,"CD4a",NA,NA,"#93AA00"
1,"CD8",NA,"yes","#67B100"
2,"CD4b",NA,"yes","#9390FF"
3,"CD4c",NA,NA,"#00B818"
4,"gd_T1",NA,"yes","#F763DF"
5,"T_HSP",NA,NA,"#00C088"
6,"Treg",NA,"yes","#CC9600"
7,"gd_T2",NA,NA,"#B3A000"
8,"NKT",NA,NA,"#00C1AB"
9,"NK",NA,NA,"#00BEC9"
10,"T_IFN",NA,NA,"#33FFCC"
